Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct,wei_edu_score,wei_econ_score,wei_safety_score,wei_score,Financial_Inclusion_Female,Financial_Inclusion_Male
Andorra,AND,Europe & Central Asia,2019,41257.804580000004,0.265352821,35.21999995,34.66666666333333,0,0,11,46.42857143,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.6406334381746498,0.335029128728643,0,0
Andorra,AND,Europe & Central Asia,2020,37361.09007,-12.22383849,35.21999995,34.66666666333333,0,0,48,46.42857143,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.6324057308141873,0.3335886756115174,0,0
Andorra,AND,Europe & Central Asia,2021,42425.69968,6.927044852,35.21999995,34.66666666333333,0,0,18,46.42857143,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.639076844890238,0.33475756051165184,0,0
Andorra,AND,Europe & Central Asia,2022,42414.05901,7.721238001,40.15999985,40.20000076,0,0,17,46.42857143,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.20079999925,0.3333333333333333,0.6392992153594396,0.3497697187833143,0,0
Andorra,AND,Europe & Central Asia,2023,46812.44845,1.123259079,35.21999995,34.66666666333333,0,0,11,50,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.6644429619746498,0.3391292650802434,0,0
Andorra,AND,Europe & Central Asia,2024,49303.67339,2.006784451,35.21999995,34.66666666333333,0,0,16.333333333333332,50,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.6632569861389075,0.3389273723311842,0,0
Angola,AGO,Sub-Saharan Africa,2015,3213.902611,-2.630701832,3.3627928899999997,6.754317744,73.933,78.557,249,36.81818182,51.93000031,83.76999664,66.2399978637695,Yes,1,90,0,0,34.449,23.776,29.133,17.528,15.464,16.49,0.276463966,0.5328208333333334,0.8569733357713142,0.501644067053801,0,0
Angola,AGO,Sub-Saharan Africa,2016,1807.952941,-6.002648683,3.3627928899999997,6.754317744,73.698,78.212,236,36.81818182,51.93000031,83.76999664,66.2399978637695,Yes,1,90,0,0,32.357,22.755,27.574,17.369,15.788,16.575,0.276463966,0.5418035714285714,0.8598641518709362,0.5050139950915319,0,0
Angola,AGO,Sub-Saharan Africa,2017,2437.259712,-3.620757682,3.3627928899999997,6.754317744,73.461,77.864,220,30.45454545,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,30.408,21.779,26.109,17.158,16.068,16.61,0.276463966,0.5500970238095237,0.8209978369114965,0.49981192532541874,0,0
Angola,AGO,Sub-Saharan Africa,2018,2538.591391,-4.665969917,3.3627928899999997,6.754317744,73.224,77.512,208,30.45454545,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,28.513,20.834,24.687,16.892,16.298,16.594,0.276463966,0.5581333333333333,0.8236662825419169,0.5027776081104653,0,0
Angola,AGO,Sub-Saharan Africa,2019,2189.855714,-4.010017337,3.758872755,6.941303008,72.985,77.156,202,30,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,26.414,19.694,23.064,16.547,16.447,16.497,0.278444365325,0.5671327380952381,0.8219702023571269,0.5063215458164197,0,0
Angola,AGO,Sub-Saharan Africa,2020,1449.922867,-8.672076174,3.3627928899999997,6.754317744,72.731,76.823,195,30,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,27.301,20.523,23.921,16.614,16.764,16.69,0.276463966,0.5618505952380952,0.8235267956415387,0.5038628876407321,0,0
Angola,AGO,Sub-Saharan Africa,2021,1925.874661,-1.969590687,2.966713025,6.56733248,74.695,78.13,211,29.54545455,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,22.584,20.782,21.685,15.781,15.817,15.799,0.274483566675,0.5924958333333332,0.8169385651343117,0.5102664515226627,0,0
Angola,AGO,Sub-Saharan Africa,2022,2929.694455,-0.143628268,3.3627928899999997,6.754317744,73.179,78.168,185,33.63636364,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,22.316,20.345,21.332,14.736,14.472,14.602,0.276463966,0.5874553571428571,0.8499929246002224,0.5168242753419292,0,0
Angola,AGO,Sub-Saharan Africa,2023,2309.53413,-1.988293313,3.3627928899999997,6.754317744,73.224,78.396,183,33.63636364,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,22.422,20.333,21.379,14.671,14.405,14.537,0.276463966,0.5871380952380952,0.8504376655386258,0.5168213268618307,0,0
Angola,AGO,Sub-Saharan Africa,2024,2122.08369,1.292930656,3.3627928899999997,6.754317744,73.14,78.386,209.88888888888889,39.54545455,51.93000031,83.76999664,66.2399978637695,Yes,1,90,1,0,22.493,20.328,21.412,14.581,14.35,14.464,0.276463966,0.58645,0.8838523101000915,0.5232988037514354,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2015,16077.63408,0.691094825,30.102770105,24.314054085000002,0,0,30,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7342919971264843,0.3327422907448064,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2016,16556.85518,3.47228425,30.102770105,24.314054085000002,0,0,28,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7347367380648877,0.3328094548759657,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,2017,16965.72883,2.146187576,30.102770105,24.314054085000002,0,0,31,11.11111111,0,0,0,Yes,1,91,0,0,0,0,0,0,0,0,0.150513850525,0.3333333333333333,0.7340696266572826,0.33270869850900653,0,0
