Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kuwait,KWT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,94.47000122,,94.83000183,94.91000366,,95.34999847,,,,
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,92.64511871,93.12358856,93.18572235,93.40966797,93.6114502,93.68049622,93.89945984,94.11267853,94.28292847,94.42510223
Lao PDR,LAO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,79.38999939,,64.41000366,,,,,,66.73000336,
Lebanon,LBN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,90.25,89.52249854,,,,,
Liberia,LBR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Libya,LBY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
St. Lucia,LCA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Latin America & Caribbean,LCN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,93.02352142,93.48973846,93.53656769,93.74230957,93.9253006,93.9897995,94.19300079,94.3925705,94.55436707,94.69129944
Least developed countries: UN classification,LDC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,55.16036987,57.24705124,58.39466095,58.99734116,59.46261978,59.82352066,60.51541138,61.13911819,61.71817017,62.21035004
Low income,LIC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,50.86936951,51.87285995,53.21886826,53.56600189,53.85393143,54.08057022,54.70326996,55.30344009,55.90534973,56.42008972
Liechtenstein,LIE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Sri Lanka,LKA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,91.75962446,91.48999786,90.97000122,90.80000305,91.58000183,91.59999847,91.63999939,91.76000214,91.97000122,
Lower middle income,LMC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,65.81620026,66.80751801,67.46343231,68.60233307,68.70500946,69.4790802,70.23078918,70.99559021,71.66516113,72.30892181
Low & middle income,LMY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,78.8456192,79.37689972,79.70731354,80.21678162,80.34799957,80.6605072,80.9538269,81.32061768,81.634758,81.92590332
Lesotho,LSO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,98.51999664,,91.79000092,97.73677304,,,,,96.62999725
Late-demographic dividend,LTE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,94.00408173,94.2939682,94.54432678,94.74935913,94.92848969,95.10294342,95.2720871,95.44631195,95.61118317,95.7780304
Lithuania,LTU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Luxembourg,LUX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Latvia,LVA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
"Macao SAR, China",MAC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,95.02999878,,,,,,,,
St. Martin (French part),MAF,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Morocco,MAR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Monaco,MCO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Moldova,MDA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Madagascar,MDG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,75.06999969,,,71.75,,,
Maldives,MDV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,98.11000061,94.91000366,,98.26000214,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,62.98178101,62.86418915,63.1617012,63.39570999,63.9398613,64.62922668,65.2543869,66.02197266,66.75238037,67.44454956
Mexico,MEX,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,93.48999786,93.97000122,94.16999817,94.61000061,94.5797932,94.5,95.03441751,95.21460366,95.23699766,95.17093157
Marshall Islands,MHL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,97.62000275,,96.37496247,,,
Middle income,MIC,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,81.14581299,81.67085266,81.95812988,82.52333832,82.68952179,83.05728149,83.36916351,83.75865173,84.09279633,84.41307068
North Macedonia,MKD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,97.77999878,,,,,,
Mali,MLI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,22.20000076,,,25.73999977,,,,,,
Malta,MLT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Myanmar,MMR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,80.37999725,,,86.26999664,92.72151049,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,
Montenegro,MNE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,97.94999695,,,,,,
